Stock Code,Title,Memo
002370,EGM-ONLINE,"The Company will hold the 2nd Extraordinary General Meeting of 2022 at 14:30 on 25 August 2022.Meeting agenda:1. Change of the registered capital and amendment to the articles of association of the Company2. Amendments to the external guarantee management system3. By-election of non-employee supervisorsMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 19 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 23 August 2022 to 23 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 25 August 2022Voting code:362370Voting abbreviation:Yatai Pharmaceutical votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 25 August 2022 to 25 August 2022."
002959,CONVERTIBLE BOND ISSUANCE-WITH PREEMPTION,"Type: convertible corporate bond Issuing size: CNY536 millionIssuing price: issued at parSubscription unit: CNY1000Maturity: 6 yearsIssuing mechanism: following the preemption for existing non-restricted shareholders, a book-building process will be conducted offline combined with online public offering Indicative annual coupon range: from 12 August 2022 to 11 August 2023: 0.400 percentfrom 12 August 2023 to 11 August 2024: 0.600 percentfrom 12 August 2024 to 11 August 2025: 1.000 percentfrom 12 August 2025 to 11 August 2026: 1.600 percentfrom 12 August 2026 to 11 August 2027: 2.500 percentfrom 12 August 2027 to 11 August 2028: 3.000 percentTargeted listing bourse: Shenzhen Stock ExchangeInformation about preemption for non-restricted shareholders (excluding restricted floating shareholders):Record date: 11 August 2022Subscription date: 12 August 2022Code: 082959Preemption rate: existing shareholders are entitled to subscribe for CNY3.4375bond for every 1 share they held. (Those fractional part less than 1 unit will be settled according to the calculation rules of central depository.)On-net subscription for all investors: Subscription date: 12 August 2022Cost debit date:15 August 2022Minimum subscription: CNY1000Upper limit: CNY1000000Subscription amount must be the multiple of CNY1000Off-net subscription for institutions:Minimum subscription: Not availableUpper limit: Not availableSubscription date:Not availableCost debit date:Not availableDeposit:Not availableSubscription amount must be the multiple of CNY"
002678,EGM-ONLINE,"The Company will hold the 3rd Extraordinary General Meeting of 2022 at 14:30 on 25 August 2022.Meeting agenda:1. Election of Zhu Jianming as a supervisorMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 18 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 19 August 2022 to 19 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 25 August 2022Voting code:362678Voting abbreviation:Pearl River Piano votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 25 August 2022 to 25 August 2022."
002839,EGM-ONLINE,"The Company will hold the 1st Extraordinary General Meeting of 2022 at 14:30 on 25 August 2022.Meeting agenda:1. 2022 estimated additional continuing connected transactions with some related parties1.1. A company and its related enterprises1.2. Related enterprises of a 2nd company1.3. Related enterprises of a 3rd company1.4. Related enterprises of a 4th company1.5. Related enterprises of a 5th company2. Issuance of Sannong bonds3. Issuance of financial bonds4. Amendments to the Company's articles of associationMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 18 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 22 August 2022 to 22 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 25 August 2022Voting code:362839Voting abbreviation:Zhangjiagang Bank votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 25 August 2022 to 25 August 2022."
002997,EGM-ONLINE,"The Company will hold the 2nd Extraordinary General Meeting of 2022 at 14:30 on 26 August 2022.Meeting agenda:1. Change of supervisorsMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 23 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 25 August 2022 to 25 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 26 August 2022Voting code:362997Voting abbreviation:Rayhoo Dies votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 26 August 2022 to 26 August 2022."
002188,EGM-ONLINE,"The Company will hold the 3rd Extraordinary General Meeting of 2022 at 14:00 on 25 August 2022.Meeting agenda:1. Change of the Company's business scope2. Amendments to the Company's articles of association3. Amendments to the Company's rules of procedure governing shareholders' general meetings4. Amendments to the Company's rules of procedure governing the board meetings5. Amendments to the Company's rules of procedure governing meetings of the supervisory committee6. Amendments to the work system of independent directors7. Amendments to the raised funds management system8. Amendments to the connected transactions management system9. Amendments to the external guarantee management system10. Amendments to the implementing rules for cumulative voting systemMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 19 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 23 August 2022 to 23 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 25 August 2022Voting code:362188Voting abbreviation:Bus Online votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 25 August 2022 to 25 August 2022."
002320,EGM RESOLUTION,"The Company held its 2nd Extraordinary General Meeting of 2022 on 09 August 2022, during which the following proposal(s) was/were approved:1. 2022 financing budget2. Implementing results of 2021 continuing connected transactions and estimation of 2022 continuing connected transactions3. Continuation of decrease of shareholding in a company"
002735,EGM RESOLUTION,"The Company held its 2nd Extraordinary General Meeting of 2022 on 09 August 2022, during which the following proposal(s) was/were approved:1. Termination of the connected transaction regarding asset purchase via share offering and cash payment and matching fund raising and change it into equity purchase with cash2. Connected transaction regarding acquisition of 49 percent equities in a company by cash3. Reappointment of 2022 audit firm"
002637,EGM-ONLINE,"The Company will hold the 1st Extraordinary General Meeting of 2022 at 13:30 on 25 August 2022.Meeting agenda:1. Election of non-independent directors, cumulative voting system applicable1.1. Zhang Jingguo1.2. Fang Yinjun1.3. Zhang Guoqiang1.4. Zou Huanjin1.5. Zhang Yong1.6. Qiu Ming2. Election of independent directors, cumulative voting system applicable2.1. Xu Guang'an2.2. Dai Menghua2.3. Gao Changyou3. Election of non-employee supervisors, cumulative voting system applicable3.1. Zhang Wei3.2. Wang Yuliang4. Amendments to the Company's rules of procedure governing the board meetings5. Amendments to the work system of independent directorsMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 22 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 23 August 2022 to 24 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 25 August 2022Voting code:362637Voting abbreviation:Zanyu Technology votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 25 August 2022 to 25 August 2022."
002667,EGM-ONLINE,"The Company will hold the 6th Extraordinary General Meeting of 2022 at 14:00 on 25 August 2022.Meeting agenda:1. Capital increase in wholly-owned subsidiaries2. 2022 stock option and restricted stock incentive plan (draft) and its summary3. Formulation of the appraisal management measures for the implementation of 2022 stock option and restricted stock incentive plan4. Authorization to the board to handle matters regarding the equity incentive planMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 19 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 25 August 2022 to 25 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 25 August 2022Voting code:362667Voting abbreviation:Anshan Heavy votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 25 August 2022 to 25 August 2022."
000421,EGM RESOLUTION,"The Company held its 3rd Extraordinary General Meeting of 2022 on 09 August 2022, during which the following proposal(s) was/were approved:1. The Company's eligibility for private placement of corporate bonds2. Private placement of corporate bonds2.1. Issuing scale2.2. Par value and issue price2.3. Bond type and duration2.4. Interest rate and method for repayment of principal and interest2.5. Purpose of the raised funds2.6. Issuing method and targets, and arrangement for placement to existing shareholders2.7. Redemption or resale clauses2.8. Guarantee matters2.9. The Company's credit conditions and repayment guarantee measures2.10. Underwriting method and listing arrangement2.11. Valid period of the resolution3. Authorization to the board and management team to handle matters regarding the private placement of corporate bonds4. Confirmation of a real estate subsidiary's participation in the bidding for land and successful bidding for two pieces of land in 2022"
002926,DIVIDEND IMPLEMENTATION (CASH ONLY),2021 final profit distribution plan to be implemented (A shares):1. Cash dividend/10 shares (tax included): CNY1.000000002. Bonus issue from profit (share/10 shares): none 3. Bonus issue from capital reserve (share/10 shares): none Record date: 15 August 2022Ex-date: 16 August 2022Payment date: 16 August 202210 percent withholding tax on cash dividend will be deducted in CNY within the cash dividend receivable. Please refer to below details:Tax on cash dividend/10 shares: CNY0.10000000(10 percent x CNY1.00000000)Net cash dividend/10 shares after tax: CNY0.90000000(CNY1.00000000- CNY0.10000000)
000875,EGM RESOLUTION,"The Company held its 1st Extraordinary General Meeting of 2022 on 09 August 2022, during which the following proposal(s) was/were approved:1. Election of Liao Jianbo as a shareholder supervisor2. Amendments to the Company's articles of association3. Amendments to the Company's rules of procedure governing shareholders' general meetings4. Amendments to the Company's rules of procedure governing the board meetings5. Amendments to the Company's rules of procedure governing meetings of the supervisory committee6. Amendments to the rules for independent directors"
000963,EGM-ONLINE,"The Company will hold the 1st Extraordinary General Meeting of 2022 at 14:00 on 31 August 2022.Meeting agenda:1. 2022 restricted stock incentive plan (draft) and its summary2. Appraisal management measures for the implementation of 2022 restricted stock incentive plan3. Management measures for the 2022 restricted stock incentive plan4. Authorization to the board to handle matters regarding the equity incentive5. Amendments to the Company's articles of associationMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 24 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 25 August 2022 to 29 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 31 August 2022Voting code:360963Voting abbreviation:Huadong Medicine votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 31 August 2022 to 31 August 2022."
002180,EGM RESOLUTION,"The Company held its 5th Extraordinary General Meeting of 2022 on 09 August 2022, during which the following proposal(s) was/were approved:1. Share repurchase by Ninestar Holdings Company Limited2. Amendments to the shareholder agreement of Ninestar Holdings Company Limited3. Provision of guarantee quota for the bank credit line applied for by wholly-owned subsidiaries4. Guarantee provided by controlled subsidiaries for a controlled subsidiary"
000529,EGM-ONLINE,"The Company will hold the 3rd Extraordinary General Meeting of 2022 at 15:00 on 25 August 2022.Meeting agenda:1. The Company's eligibility for public issuance of corporate bonds2. Public issuance of corporate bonds2.1. Issuing scale2.2. Issuing method2.3. Issuing targets and arrangements for placement to shareholders2.4. Bond type and duration2.5. Interest rate and its determining method2.6. Method of paying the principal and interest2.7. Redemption or resale clauses2.8. Purpose of the raised funds2.9. Repayment guarantee measures2.10. Guarantee arrangements2.11. Underwriting method and listing arrangement2.12. The valid period of this issuance resolution3. Full authorization to the board or its authorized persons to handle matters regarding the issuance of corporate bonds4. Issuance of medium-term notes5. Issuance of super short-term commercial papers6. Connected transaction regarding participation in the bidding for 100 percent equities in a company7. Reappointment of 2022 financial audit firm8. Reappointment of 2022 internal control audit firm9. Provision of guarantee for the bank financing credit of subsidiariesMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 18 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 23 August 2022 to 23 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 25 August 2022Voting code:360529Voting abbreviation:Guanghong Holdings votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 25 August 2022 to 25 August 2022."
000972,TRADING SUSPENSION,"Due to matters related to major events, trading of the Company's shares has been suspended from 10 August 2022 and will be resumed on/no later than 24 August 2022.."
000089,DIVIDEND IMPLEMENTATION (CASH ONLY),2021 final profit distribution plan to be implemented (A shares):1. Cash dividend/10 shares (tax included): CNY0.300000002. Bonus issue from profit (share/10 shares): none 3. Bonus issue from capital reserve (share/10 shares): none Record date: 16 August 2022Ex-date: 17 August 2022Payment date: 17 August 202210 percent withholding tax on cash dividend will be deducted in CNY within the cash dividend receivable. Please refer to below details:Tax on cash dividend/10 shares: CNY0.03000000(10 percent x CNY0.30000000)Net cash dividend/10 shares after tax: CNY0.27000000(CNY0.30000000- CNY0.03000000)
001222,IPO RESULTS,The Company's IPO results announcement has been disclosed recently.
001230,EGM-ONLINE,"The Company will hold the 3rd Extraordinary General Meeting of 2022 at 14:30 on 25 August 2022.Meeting agenda:1. Change of the Company's registered capital and type of business entity, amendments to the Company's articles of association and handling of the industrial and commercial registration amendment2. Cash management with idle raised funds and proprietary fundsMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 19 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 23 August 2022 to 23 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 25 August 2022Voting code:361230Voting abbreviation:Jinglv Environment votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 25 August 2022 to 25 August 2022."
001268,EGM RESOLUTION,"The Company held its 2nd Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. Change of the registered capital and type of business entity of the Company, amendments to the articles of association and handling of the industrial and commercial registration amendment2. Cash management with temporarily idle raised funds3. Temporarily supplementing the working capital with some idle raised funds4. Formulation of the implementing rules for online voting system at shareholders' general meetings5. Formulation of the cumulative voting system"
002900,EGM CHANGE,"Further to our previous message on 01 August 2022 about the Company's 2nd Extraordinary General Meeting of 2022, the Company announced on 09 August 2022 the following changes made with regard to the said meeting:Additional items to be voted: 4. Change of the purpose of some raised funds and increase of project financed with raised fundsOther information remains unchanged.All the proposals of the meeting are sequenced as follows:1. 2022 restricted stock incentive plan (draft) and its summary2. Appraisal management measures for the implementation of 2022 restricted stock incentive plan3. Authorization to the board to handle matters regarding the 2022 restricted stock incentive plan4. Change of the purpose of some raised funds and increase of project financed with raised funds"
002909,EGM-ONLINE,"The Company will hold the 1st Extraordinary General Meeting of 2022 at 14:30 on 24 August 2022.Meeting agenda:1. The Company's eligibility for non-public A-share offering2. Plan for 2022 non-public A-share offering2.1. Stock type and par value2.2. Issuing method and date2.3. Issuing targets and subscription method2.4. Pricing base date, pricing principles and issue price2.5. Issuing volume2.6. Purpose of the raised funds2.7. Lockup period2.8. Arrangement for the accumulated retained profits before the non-public share offering2.9. Listing place2.10. The valid period of the resolution on the share offering3. Preplan for 2022 non-public A-share offering4. Feasibility analysis report on the use of funds to be raised from the 2022 non-public A-share offering5. Report on the use of previously raised funds6. Diluted immediate return after the 2022 non-public A-share offering, filling measures and commitments of relevant parties7. Adjustment of the investment scale of some projects financed with raised funds and use of the surplus raised funds from some projects financed with raised funds in adjusted projects8. Adjustment of the full authorization to the board to handle matters regarding the non-public A-share offeringMeeting attendees: 1. A-share holders registered at CSDC Shenzhen after the close of trading on 17 August 2022 are entitled to vote. Original notarized power of attorney for voting is required.2. Directors of the board, supervisors of the supervisory committee, senior executives and appointed lawyers are entitled to attend the meeting.Registration period: from 22 August 2022 to 23 August 2022The Company's shareholder may choose to vote online via the trading system of Shenzhen Stock Exchange or via the website of http://wltp.cninfo.com.cn.Part I Voting via the trading systemVoting date: 24 August 2022Voting code:362909Voting abbreviation:Jointas Stock votingVoting process: 1. To input the ""buy"" instruction to begin voting2. To input the serial number of the Investors Meeting proposals under the item of ""subscription price"" ""1 share"" for voting for, ""2 shares"" for voting against and ""3 shares"" for ""abstention"".Part II Voting via the internetShareholders may choose the CA (certification authority) or service password for identity verification. As to the service password, shareholders may apply for a password on the website http://www.szse.cn or http://wltp.cninfo.com.cn. Voting period: from 24 August 2022 to 24 August 2022."
002970,EGM RESOLUTION,"The Company held its 2nd Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. Settlement of some projects financed with raised funds and permanently supplementing the working capital with the surplus raised funds"
000803,EGM RESOLUTION,"The Company held its 3rd Extraordinary General Meeting of 2022 on 08 August 2022, during which the following proposal(s) was/were approved:1. Change of the Company's name and stock abbreviation2. Change of the Company's registered capital and amendments to the Company's articles of association3. Amendments to the Company's rules of procedure governing the board meetings4. Election of non-independent directors5. Acquisition of 100 percent equities in a company"
